Price,Address,City,State,ZipCode,Beds,Baths,Sqft,Acres
459900,821 OVERBROOK DR,HUNTSVILLE,TX,77340,3,4,2928,0.0
152900,11-22-39 GREY FEATHER ROAD,HUNTSVILLE,TX,77340,0,0,0,2.0
225000,21 PONDEROSA DR,NEW WAVERLY,TX,77358,0,0,0,5.0
258750,00 FM 2989,HUNTSVILLE,TX,75852,0,0,0,23.15
488889,6 ALLBRITTON RD,HUNTSVILLE,TX,77320,0,0,0,2.66
257640,328 PECOS DR,HUNTSVILLE,TX,77340,4,2,1612,0.0
489900,2508 W GREEN BRIAR DR,HUNTSVILLE,TX,77340,4,3,2709,0.0
165000,94 WILDWOOD LAKE DR,HUNTSVILLE,TX,77340,0,0,0,0.34
975000,31 CAROLINA WAY,HUNTSVILLE,TX,77320,3,3,2594,0.0
489000,11 WILLOW OAK CT,HUNTSVILLE,TX,77320,4,3,2434,0.0
144999,33 LONESTAR ROAD,NEW WAVERLY,TX,77358,0,0,0,1.75
975000,31 CAROLINA WAY,HUNTSVILLE,TX,77320,3,3,2594,0.0
134900,4A-11-45 SUNDOG ROAD,HUNTSVILLE,TX,77340,0,0,0,2.55
140000,38 OLD MIDWAY RD,MIDWAY,TX,75852,0,0,0,1.0
179900,1-1-16 TEXAS GRAND ROAD,HUNTSVILLE,TX,77340,0,0,0,2.0
145000,00 STAGECOACH CIRCLE,HUNTSVILLE,TX,77340,0,0,0,3.01
29900,118 N FOREST DR,HUNTSVILLE,TX,77340,0,0,0,0.1
4500,0 FAIRWAY DRIVE,TRINITY,TX,75862,0,0,0,0.1
949000,630 LONESTAR RD,HUNTSVILLE,TX,77340,3,3,3621,0.0
249900,3A-15-37 WINCHESTER ROAD,HUNTSVILLE,TX,77340,0,0,0,3.5
4500,0 RUSTLING WIND,TRINITY,TX,75862,0,0,0,0.16
69999,162 PLANTATION RD,TRINITY,TX,75862,3,1,912,0.0
4500,TBD RUSTLING WIND,TRINITY,TX,75862,0,0,0,0.19
4500,0 FORREST HOLLOW,TRINITY,TX,75862,0,0,0,0.2
99990,0 SOUTH,HUNTSVILLE,TX,77340,0,0,0,1.12
104900,5-25-14 INSCRIPTION LANE,HUNTSVILLE,TX,77340,0,0,0,1.0
449999,20 RIPPLE CREEK DR,HUNTSVILLE,TX,77320,0,0,0,8.44
144900,15-34-26 SANDSTONE LANE,HUNTSVILLE,TX,77340,0,0,0,2.0
250000,88 HILLSBOROUGH DR,HUNTSVILLE,TX,77340,4,2,1555,0.0
431500,116 HERITAGE OAK DR,HUNTSVILLE,TX,77320,3,2,2057,0.0
369900,1-1-36A TEXAS GRAND ROAD,HUNTSVILLE,TX,77340,0,0,0,4.01
315000,38 LEE WOOD RD,HUNTSVILLE,TX,77320,0,0,0,10.0
140000,38 FM 3454 RD,HUNTSVILLE,TX,77320,0,0,0,9.35
275000,58 SPRING CIRCLE DR,HUNTSVILLE,TX,77320,3,2,1743,0.0
499900,1653 GREEN BRIAR DR,HUNTSVILLE,TX,77340,4,3,2635,0.0
272400,113 LAUREL OAK DR,HUNTSVILLE,TX,77320,3,2,1354,0.0
74900,TBD HARDY BOTTOM ROAD,HUNTSVILLE,TX,77340,0,0,0,2.88
275000,58 SPRING CIRCLE DR,HUNTSVILLE,TX,77320,0,0,0,5.0
399000,8034 STATE HIGHWAY 75 S,HUNTSVILLE,TX,77340,0,0,0,4.0
405000,163 TOWN AND COUNTRY DR,HUNTSVILLE,TX,77320,0,0,0,18.0
224900,4A-6-185 BRANDING IRON ROAD,HUNTSVILLE,TX,77340,0,0,0,4.05
144999,9-21-51 BIGHORN ROAD,HUNTSVILLE,TX,77358,0,0,0,2.0
35000,1700 GREEN WAY DR,HUNTSVILLE,TX,77340,0,0,0,0.25
599000,6092 FM 1374 RD,NEW WAVERLY,TX,77358,3,3,2466,0.0
150000,0 HWY 190,HUNTSVILLE,TX,77340,0,0,0,1.24
299000,TBD ROUND PRAIRIE ROAD,HUNTSVILLE,TX,77320,0,0,0,20.0
225000,1821 AVENUE Q,HUNTSVILLE,TX,77340,4,3,1576,0.0
285000,115 LAUREL OAK DR,HUNTSVILLE,TX,77320,3,2,1517,0.0
299000,TBD ROUND PRAIRIE ROAD,HUNTSVILLE,TX,77320,0,0,0,20.0
169900,1261 FISH HATCHERY RD,HUNTSVILLE,TX,77320,3,2,1368,0.0
297700,116 LAUREL OAK DR,HUNTSVILLE,TX,77320,4,2,1666,0.0
175400,106 HILL TOP RD,HUNTSVILLE,TX,77320,2,2,1440,0.0
250000,2011 AVENUE T,HUNTSVILLE,TX,77340,4,3,2430,0.0
135000,TBD SKY OAK LANE,HUNTSVILLE,TX,77340,0,0,0,2.0
179900,1 JACOB ST,HUNTSVILLE,TX,77320,3,2,1664,0.0
250000,0 HWY 30 W,HUNTSVILLE,TX,77320,0,0,0,9.33
200000,5.21 +/- ACRES MCADAMS LANE,HUNTSVILLE,TX,77320,0,0,0,5.21
29900,1 WILD FOREST CT,HUNTSVILLE,TX,77340,0,0,0,0.16
675000,25 KENLE LN,HUNTSVILLE,TX,77340,0,0,0,10.0
